step,month,day,hour,kwh_total,kwh_cooling,kwh_heating,kwh_fans,kwh_lights,kw_demand,base_cool_sp,base_heat_sp,mean_temp,mean_pmv,pmv_in_band,occupied,policy_reason
48,7,1,12.25,9.872099763099017,5.938067971910069,0.0,0.7195309220241672,0.2910589900304618,39.48839905239607,26.7,15.6,27.051,0.6294,0.2,1,initial policy: unoccupied setback + precool before evening peak
49,7,1,12.5,9.7635300674711,5.9674420513528785,0.0,0.5815871469534402,0.2910589900304618,39.0541202698844,26.7,15.6,26.658,0.5414,0.3333,1,initial policy: unoccupied setback + precool before evening peak
50,7,1,12.75,5.165950397812092,1.7452930983726105,0.0,0.20615643027470157,0.2910589900304618,20.66380159124837,26.7,15.6,27.445,0.6797,0.3333,1,initial policy: unoccupied setback + precool before evening peak
51,7,1,13.0,10.208913238775201,6.239445069009018,0.0,0.754967300601402,0.2910589900304618,40.835652955100805,26.7,15.6,27.061,0.6394,0.2,1,initial policy: unoccupied setback + precool before evening peak
52,7,1,13.25,10.067684741957512,6.250669537902371,0.0,0.6025143348903613,0.2910589900304618,40.27073896783005,26.7,15.6,26.661,0.5576,0.3333,1,initial policy: unoccupied setback + precool before evening peak
53,7,1,13.5,5.224417470545932,1.803760171106449,0.0,0.20615643027470157,0.2910589900304618,20.897669882183727,26.7,15.6,27.512,0.7129,0.2667,1,initial policy: unoccupied setback + precool before evening peak
54,7,1,13.75,10.816887576416716,6.767515790538971,0.0,0.8348709167129652,0.2910589900304618,43.267550305666866,26.7,15.6,27.11,0.6737,0.1333,1,initial policy: unoccupied setback + precool before evening peak
55,7,1,14.0,10.567904019357982,6.717127005214359,0.0,0.6362761449788413,0.2910589900304618,42.27161607743193,26.7,15.6,26.672,0.5835,0.3333,1,initial policy: unoccupied setback + precool before evening peak
56,7,1,14.25,5.285870350375099,1.8652130509356164,0.0,0.20615643027470157,0.2910589900304618,21.143481401500395,26.7,15.6,27.586,0.7485,0.2667,1,initial policy: unoccupied setback + precool before evening peak
57,7,1,14.5,11.33132397575011,7.203871307984693,0.0,0.9129517986006359,0.2910589900304618,45.32529590300044,26.7,15.6,27.156,0.7053,0.1333,1,initial policy: unoccupied setback + precool before evening peak
58,7,1,14.75,10.888496918513493,7.011992249552017,0.0,0.6620037997966958,0.2910589900304618,43.55398767405397,26.7,15.6,26.684,0.6051,0.3333,1,initial policy: unoccupied setback + precool before evening peak
59,7,1,15.0,5.556534622215543,2.128587938554571,0.0,0.21344581449619224,0.2910589900304618,22.226138488862173,26.7,15.6,27.511,0.7504,0.3333,1,initial policy: unoccupied setback + precool before evening peak
60,7,1,15.25,14.703939145852202,9.702841933702354,0.0,1.7865963429850689,0.2910589900304618,58.815756583408806,26.7,15.6,26.807,0.6534,0.2,1,initial policy: unoccupied setback + precool before evening peak
61,7,1,15.5,12.636039281685559,8.546887804971025,0.0,0.8746506075497531,0.2910589900304618,50.544157126742235,26.7,15.6,26.189,0.5126,0.4667,1,initial policy: unoccupied setback + precool before evening peak
62,7,1,15.75,5.505502595141562,2.084845295702079,0.0,0.20615643027470157,0.2910589900304618,22.022010380566247,26.7,15.6,27.344,0.7073,0.3333,1,initial policy: unoccupied setback + precool before evening peak
63,7,1,16.0,14.79078165312361,9.685740663144692,0.0,1.8905401208141388,0.2910589900304618,59.16312661249444,26.7,15.6,26.821,0.6505,0.2,1,initial policy: unoccupied setback + precool before evening peak
64,7,1,16.25,12.453936643904134,8.36342729027413,0.0,0.8760084844652226,0.2910589900304618,49.81574657561654,26.7,15.6,26.196,0.5121,0.4667,1,initial policy: unoccupied setback + precool before evening peak
65,7,1,16.5,5.481172977482777,2.0605156780432967,0.0,0.20615643027470157,0.2910589900304618,21.92469190993111,26.7,15.6,27.321,0.7006,0.3333,1,initial policy: unoccupied setback + precool before evening peak
66,7,1,16.75,13.993687969099284,9.018016961527474,0.0,1.7611701384070282,0.2910589900304618,55.974751876397136,26.7,15.6,26.805,0.64,0.2,1,initial policy: unoccupied setback + precool before evening peak
67,7,1,17.0,9.565817492568861,5.796538299908695,0.0,0.5547783234953838,0.2910589900304618,38.263269970275445,26.7,15.6,26.8,0.613,0.2,1,initial policy: unoccupied setback + precool before evening peak
68,7,1,17.25,4.7460949714399785,1.8408150010655737,0.0,0.20615643027470157,0.3375279477154128,18.984379885759914,26.7,15.6,27.762,0.7871,0.2667,1,initial policy: unoccupied setback + precool before evening peak
69,7,1,17.5,8.251319590206851,5.077247825643257,0.0,0.5702168838291823,0.24224765174848037,33.005278360827404,26.7,15.6,27.376,0.7416,0.1333,1,initial policy: unoccupied setback + precool before evening peak
70,7,1,17.75,8.823198411332534,5.663458592042639,0.0,0.5559087907511382,0.24224765174848037,35.292793645330136,26.7,15.6,26.991,0.6486,0.2,1,initial policy: unoccupied setback + precool before evening peak
71,7,1,18.0,4.601315449922674,1.7913279911092164,0.0,0.20615643027470157,0.24224765174848037,18.405261799690695,26.7,15.6,27.654,0.7512,0.2667,1,initial policy: unoccupied setback + precool before evening peak
72,7,1,18.25,7.7798946226344725,4.672072854739662,0.0,0.5039907393560543,0.24224765174848037,31.11957849053789,26.7,15.6,27.295,0.6919,0.1333,1,initial policy: unoccupied setback + precool before evening peak
73,7,1,18.5,8.503288532635422,5.356142271450753,0.0,0.5417419349387669,0.2438209494556286,34.013154130541686,26.7,15.6,26.949,0.6,0.2667,1,initial policy: unoccupied setback + precool before evening peak
74,7,1,18.75,4.516997336349585,1.701699268146988,0.0,0.20615643027470157,0.2475578675230286,18.06798934539834,26.7,15.6,27.474,0.6744,0.2667,1,initial policy: unoccupied setback + precool before evening peak
75,7,1,19.0,6.374321561648552,3.421763397727599,0.0,0.33558550466406534,0.25538795390096625,25.497286246594207,26.7,15.6,27.522,0.69,0.2,0,initial policy: unoccupied setback + precool before evening peak
76,7,1,19.25,6.22485811262957,3.2410871515514095,0.0,0.33558550466406534,0.286598791877144,24.89943245051828,26.7,15.6,27.506,0.6753,0.2,0,initial policy: unoccupied setback + precool before evening peak
77,7,1,19.5,5.212973126540059,1.6106582071314566,0.0,0.20615643027470157,0.26813901328740164,20.851892506160237,26.7,15.6,27.614,0.6714,0.2667,0,initial policy: unoccupied setback + precool before evening peak
78,7,1,19.75,9.67626321471057,5.738367411052642,0.0,0.5417419349387669,0.26813901328740164,38.70505285884228,26.7,15.6,27.147,0.5818,0.3333,0,initial policy: unoccupied setback + precool before evening peak
79,7,1,20.0,7.742218716063119,4.010479342679893,0.0,0.33558550466406534,0.26813901328740164,30.968874864252477,26.7,15.6,27.026,0.5409,0.3333,0,initial policy: unoccupied setback + precool before evening peak
80,7,1,20.25,3.3961538687191615,0.0,0.0,0.0,0.26813901328740164,13.584615474876646,26.7,15.6,27.585,0.6331,0.3333,0,initial policy: unoccupied setback + precool before evening peak
81,7,1,20.5,5.1189170594260665,1.516606760432203,0.0,0.20615643027470157,0.26813901328740164,20.475668237704266,26.7,15.6,27.79,0.6797,0.2667,0,initial policy: unoccupied setback + precool before evening peak
82,7,1,20.75,9.43295627134833,5.495060467690401,0.0,0.5417419349387669,0.26813901328740164,37.73182508539332,26.7,15.6,27.105,0.555,0.3333,0,initial policy: unoccupied setback + precool before evening peak
83,7,1,21.0,8.707135814839297,4.975396441456069,0.0,0.33558550466406534,0.26813901328740164,34.82854325935719,26.7,15.6,26.844,0.4887,0.4667,0,initial policy: unoccupied setback + precool before evening peak
84,7,1,21.25,3.3961538687191615,0.0,0.0,0.0,0.26813901328740164,13.584615474876646,26.7,15.6,27.394,0.5766,0.3333,0,initial policy: unoccupied setback + precool before evening peak
85,7,1,21.5,8.614912705705237,4.8350572059606485,0.0,0.38370163102542554,0.26813901328740164,34.45965082282095,26.7,15.6,27.332,0.5753,0.3333,0,initial policy: unoccupied setback + precool before evening peak
86,7,1,21.75,11.169063172455115,7.231167368797183,0.0,0.5417419349387669,0.26813901328740164,44.67625268982046,26.7,15.6,26.769,0.4709,0.4,0,initial policy: unoccupied setback + precool before evening peak
87,7,1,22.0,5.943583823792942,2.389389651160438,0.0,0.15804030391334134,0.26813901328740164,23.774335295171767,26.7,15.6,26.898,0.4798,0.4667,0,initial policy: unoccupied setback + precool before evening peak
88,7,1,22.25,3.3961538687191615,0.0,0.0,0.0,0.26813901328740164,13.584615474876646,26.7,15.6,27.463,0.5839,0.3333,0,initial policy: unoccupied setback + precool before evening peak
89,7,1,22.5,8.445882116852555,4.666026617107969,0.0,0.38370163102542554,0.26813901328740164,33.78352846741022,26.7,15.6,27.265,0.5586,0.3333,0,initial policy: unoccupied setback + precool before evening peak
90,7,1,22.75,11.062772159041534,7.124876355383604,0.0,0.5417419349387669,0.26813901328740164,44.25108863616614,26.7,15.6,26.648,0.4406,0.4667,0,initial policy: unoccupied setback + precool before evening peak
91,7,1,23.0,5.945199498665067,2.3910053260325648,0.0,0.15804030391334134,0.26813901328740164,23.78079799466027,26.7,15.6,26.778,0.4464,0.6,0,initial policy: unoccupied setback + precool before evening peak
92,7,1,23.25,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,27.383,0.5571,0.4,0,initial policy: unoccupied setback + precool before evening peak
93,7,1,23.5,9.018759675375557,4.6343733142295624,0.0,0.38370163102542554,0.26813901328740164,36.07503870150223,26.7,15.6,27.232,0.5413,0.3333,0,initial policy: unoccupied setback + precool before evening peak
94,7,1,23.75,11.663696296642042,7.121269631582707,0.0,0.5417419349387669,0.26813901328740164,46.65478518656817,26.7,15.6,26.62,0.4266,0.5333,0,initial policy: unoccupied setback + precool before evening peak
95,7,1,24.0,6.5499279862023805,2.3912029521684706,0.0,0.15804030391334134,0.26813901328740164,26.199711944809522,26.7,15.6,26.747,0.4346,0.6,0,initial policy: unoccupied setback + precool before evening peak
96,7,2,0.25,4.000684730120568,0.0,0.0,0.0,0.26813901328740164,16.002738920482273,26.7,15.6,27.331,0.5429,0.4,0,initial policy: unoccupied setback + precool before evening peak
97,7,2,0.5,6.4885687418549525,2.3103388109836613,0.0,0.17754520075072397,0.26813901328740164,25.95427496741981,26.7,15.6,27.471,0.5814,0.3333,0,initial policy: unoccupied setback + precool before evening peak
98,7,2,0.75,9.092383857353525,4.707997496207532,0.0,0.38370163102542554,0.26813901328740164,36.3695354294141,26.7,15.6,27.135,0.5233,0.4667,0,initial policy: unoccupied setback + precool before evening peak
99,7,2,1.0,9.086186259142604,4.721304794833993,0.0,0.3641967341880429,0.26813901328740164,36.344745036570416,26.7,15.6,26.778,0.45,0.4667,0,initial policy: unoccupied setback + precool before evening peak
100,7,2,1.25,6.54698564556052,2.388260611526611,0.0,0.15804030391334134,0.26813901328740164,26.18794258224208,26.7,15.6,26.892,0.4633,0.6,0,initial policy: unoccupied setback + precool before evening peak
101,7,2,1.5,6.473998335217587,2.295768404346294,0.0,0.17754520075072397,0.26813901328740164,25.895993340870348,26.7,15.6,27.075,0.4938,0.4667,0,initial policy: unoccupied setback + precool before evening peak
102,7,2,1.75,6.570131399303082,2.39190146843179,0.0,0.17754520075072397,0.26813901328740164,26.28052559721233,26.7,15.6,27.193,0.5163,0.5333,0,initial policy: unoccupied setback + precool before evening peak
103,7,2,2.0,6.482782562485583,2.2759414020903135,0.0,0.20615643027470157,0.26813901328740164,25.93113024994233,26.7,15.6,27.22,0.5207,0.4667,0,initial policy: unoccupied setback + precool before evening peak
104,7,2,2.25,9.037903038209471,4.6730215739008605,0.0,0.3641967341880429,0.26813901328740164,36.151612152837885,26.7,15.6,26.9,0.463,0.4667,0,initial policy: unoccupied setback + precool before evening peak
105,7,2,2.5,6.528395772956299,2.3696707389223888,0.0,0.15804030391334134,0.26813901328740164,26.113583091825195,26.7,15.6,26.914,0.4595,0.6,0,initial policy: unoccupied setback + precool before evening peak
106,7,2,2.75,6.461732339563037,2.283502408691745,0.0,0.17754520075072397,0.26813901328740164,25.846929358252147,26.7,15.6,27.016,0.4731,0.5333,0,initial policy: unoccupied setback + precool before evening peak
107,7,2,3.0,6.563711522786858,2.3854815919155645,0.0,0.17754520075072397,0.26813901328740164,26.25484609114743,26.7,15.6,27.112,0.4905,0.6,0,initial policy: unoccupied setback + precool before evening peak
108,7,2,3.25,6.482782562485583,2.2759414020903135,0.0,0.20615643027470157,0.26813901328740164,25.93113024994233,26.7,15.6,27.148,0.4967,0.5333,0,initial policy: unoccupied setback + precool before evening peak
109,7,2,3.5,9.037903038209471,4.6730215739008605,0.0,0.3641967341880429,0.26813901328740164,36.151612152837885,26.7,15.6,26.839,0.4417,0.6,0,initial policy: unoccupied setback + precool before evening peak
110,7,2,3.75,6.528395772956299,2.3696707389223888,0.0,0.15804030391334134,0.26813901328740164,26.113583091825195,26.7,15.6,26.858,0.4397,0.6667,0,initial policy: unoccupied setback + precool before evening peak
111,7,2,4.0,6.461732339563037,2.283502408691745,0.0,0.17754520075072397,0.26813901328740164,25.846929358252147,26.7,15.6,26.967,0.4556,0.5333,0,initial policy: unoccupied setback + precool before evening peak
112,7,2,4.25,12.316024136368048,7.7735974713087135,0.0,0.5417419349387669,0.26813901328740164,49.26409654547219,25.6,17.8,26.408,0.3511,1.0,0,initial policy: unoccupied setback + precool before evening peak
113,7,2,4.5,9.233912489598797,4.869031025290185,0.0,0.3641967341880429,0.26813901328740164,36.93564995839519,25.6,17.8,26.278,0.3118,0.9333,0,initial policy: unoccupied setback + precool before evening peak
114,7,2,4.75,5.796995377109696,1.6187654462384033,0.0,0.17754520075072397,0.26813901328740164,23.187981508438785,25.6,17.8,26.535,0.3517,1.0,0,initial policy: unoccupied setback + precool before evening peak
115,7,2,5.0,10.327566828586543,5.784589887560803,0.0,0.5422922109051738,0.26813901328740164,41.31026731434617,25.6,17.8,26.271,0.2996,1.0,0,initial policy: unoccupied setback + precool before evening peak
116,7,2,5.25,13.029565778690726,6.974313627700068,0.0,0.5837284245421065,0.26813901328740164,52.118263114762904,25.0,20.0,25.816,0.1994,1.0,0,initial policy: unoccupied setback + precool before evening peak
117,7,2,5.5,12.35173791274088,5.866697230955425,0.0,0.5417419349387669,0.7399140336855354,49.40695165096352,25.0,20.0,25.763,0.1667,1.0,0,initial policy: unoccupied setback + precool before evening peak
118,7,2,5.75,9.999264121556795,4.866602880143064,0.0,0.5561166438145502,0.6820776265154053,39.99705648622718,25.0,20.0,25.775,0.168,1.0,0,initial policy: unoccupied setback + precool before evening peak
119,7,2,6.0,9.869071814354442,4.794642204415523,0.0,0.5619744222016041,0.6180136701459157,39.476287257417766,25.0,20.0,25.786,0.1717,1.0,0,initial policy: unoccupied setback + precool before evening peak
120,7,2,6.25,24.113766773915174,13.582381013507097,0.0,2.0288356903812863,1.7874123980334091,96.4550670956607,24.0,21.0,24.933,0.0284,1.0,0,initial policy: unoccupied setback + precool before evening peak
121,7,2,6.5,20.794347926107104,11.247589118332643,0.0,1.0630673426956023,1.7680352597632976,83.17739170442842,24.0,21.0,24.813,-0.0076,1.0,0,initial policy: unoccupied setback + precool before evening peak
122,7,2,6.75,22.463744197980194,12.435084377060159,0.0,1.5666583097206743,1.7463539401827715,89.85497679192078,24.0,21.0,24.801,-0.0037,1.0,0,initial policy: unoccupied setback + precool before evening peak
123,7,2,7.0,30.12700602680602,16.621571216912496,0.0,5.043442958033855,1.7463539401827715,120.50802410722407,24.0,21.0,24.221,-0.1005,1.0,1,initial policy: unoccupied setback + precool before evening peak
124,7,2,7.25,43.26305727639545,17.2672048247335,0.0,6.3685018864993,5.239061820548314,173.0522291055818,24.0,21.0,24.176,-0.099,1.0,1,initial policy: unoccupied setback + precool before evening peak
125,7,2,7.5,44.24910356221484,17.32780064742378,0.0,7.289358639433925,5.239061820548314,176.99641424885937,24.0,21.0,24.337,-0.0565,1.0,1,initial policy: unoccupied setback + precool before evening peak
126,7,2,7.75,44.313636518626886,17.422340348564692,0.0,7.259351894705058,5.239061820548314,177.25454607450754,24.0,21.0,24.426,-0.0268,1.0,1,initial policy: unoccupied setback + precool before evening peak
127,7,2,8.0,44.44131735684513,17.535520961220488,0.0,7.273852120267493,5.239061820548314,177.76526942738053,24.0,21.0,24.475,-0.0061,1.0,1,initial policy: unoccupied setback + precool before evening peak
128,7,2,8.25,42.50219881562508,17.65501522787412,0.0,7.310890511742559,5.239061820548314,170.0087952625003,24.0,21.0,24.499,0.0078,0.9333,1,initial policy: unoccupied setback + precool before evening peak
129,7,2,8.5,42.66830492639383,17.768077085046958,0.0,7.363934765338475,5.239061820548314,170.67321970557532,24.0,21.0,24.538,0.0245,0.9333,1,initial policy: unoccupied setback + precool before evening peak
130,7,2,8.75,42.82920859910396,17.876429775226526,0.0,7.416485747869033,5.239061820548314,171.31683439641583,24.0,21.0,24.58,0.0388,0.9333,1,initial policy: unoccupied setback + precool before evening peak
131,7,2,9.0,42.93962797059541,17.98406932771126,0.0,7.41926556687574,5.239061820548314,171.75851188238164,24.0,21.0,24.612,0.0507,0.9333,1,initial policy: unoccupied setback + precool before evening peak
132,7,2,9.25,42.51029029619714,18.03834339012226,0.0,7.419265566875741,5.239061820548314,170.04116118478856,24.0,21.0,24.625,0.0572,0.9333,1,initial policy: unoccupied setback + precool before evening peak
133,7,2,9.5,42.56691669574029,18.094969789665416,0.0,7.419265566875741,5.239061820548314,170.26766678296116,24.0,21.0,24.649,0.0648,0.9333,1,initial policy: unoccupied setback + precool before evening peak
134,7,2,9.75,42.621829791233644,18.149882885158764,0.0,7.419265566875741,5.239061820548314,170.48731916493458,24.0,21.0,24.681,0.0742,0.9333,1,initial policy: unoccupied setback + precool before evening peak
135,7,2,10.0,42.67630473490564,18.204357828830762,0.0,7.419265566875741,5.239061820548314,170.70521893962257,24.0,21.0,24.711,0.0837,0.8667,1,initial policy: unoccupied setback + precool before evening peak
136,7,2,10.25,43.2159059662496,18.26034732336546,0.0,7.419265566875741,5.239061820548314,172.8636238649984,24.0,21.0,24.742,0.0924,0.9333,1,initial policy: unoccupied setback + precool before evening peak
137,7,2,10.5,43.26879650510241,18.313237862218273,0.0,7.419265566875741,5.239061820548314,173.07518602040963,24.0,21.0,24.755,0.0961,0.9333,1,initial policy: unoccupied setback + precool before evening peak
